Commercial	Prefferrd Residential	Concatenated	Class_Desc	Primary_Code	Secondary_Code	Tertiary_Code	Quaternary_Code	Primary_Desc	Secondary_Desc	Tertiary_Desc	Quaternary_Desc
Y		C	Commercial	C				Commercial			
Y		CA	Agricultural	C	A			Commercial	Agricultural		
Y		CA01	Farm / Non-Residential Associated Building	C	A	1		Commercial	Agricultural	Farm / Non-Residential Associated Building	
Y		CA02	Fishery	C	A	2		Commercial	Agricultural	Fishery	
Y		CA02FF	Fish Farming	C	A	2	FF	Commercial	Agricultural	Fishery	Fish Farming
Y		CA02FH	Fish Hatchery	C	A	2	FH	Commercial	Agricultural	Fishery	Fish Hatchery
Y		CA02FP	Fish Processing	C	A	2	FP	Commercial	Agricultural	Fishery	Fish Processing
Y	N	CA02OY	Oyster / Mussel Bed	C	A	2	OY	Commercial	Agricultural	Fishery	Oyster / Mussel Bed
Y		CA03	Horticulture	C	A	3		Commercial	Agricultural	Horticulture	
Y		CA03SH	Smallholding	C	A	3	SH	Commercial	Agricultural	Horticulture	Smallholding
Y	Y	CA03VY	Vineyard	C	A	3	VY	Commercial	Agricultural	Horticulture	Vineyard
Y	N	CA03WB	Watercress Bed	C	A	3	WB	Commercial	Agricultural	Horticulture	Watercress Bed
Y	N	CA04	Slaughter House / Abattoir	C	A	4		Commercial	Agricultural	Slaughter House / Abattoir	
Y		CB	Ancillary Building	C	B			Commercial	Ancillary Building		
Y		CC	Community Services	C	C			Commercial	Community Services		
Y	N	CC02	Law Court	C	C	2		Commercial	Community Services	Law Court	
Y	Y	CC03	Prison	C	C	3		Commercial	Community Services	Prison	
Y	Y	CC03HD	HM Detention Centre	C	C	3	HD	Commercial	Community Services	Prison	HM Detention Centre
Y	Y	CC03PR	HM Prison Service	C	C	3	PR	Commercial	Community Services	Prison	HM Prison Service
Y	Y	CC03SC	Secure Residential Accommodation	C	C	3	SC	Commercial	Community Services	Prison	Secure Residential Accommodation
Y		CC04	Public / Village Hall / Other Community Facility	C	C	4		Commercial	Community Services	Public / Village Hall / Other Community Facility	
Y		CC04YR	Youth Recreational / Social Club	C	C	4	YR	Commercial	Community Services	Public / Village Hall / Other Community Facility	Youth Recreational / Social Club
Y	N	CC05	Public Convenience	C	C	5		Commercial	Community Services	Public Convenience	
Y	N	CC06	Cemetery / Crematorium / Graveyard. In Current Use.	C	C	6		Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	
Y	N	CC06CB	Columbarium	C	C	6	CB	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Columbarium
Y	N	CC06CR	Chapel Of Rest	C	C	6	CR	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Chapel Of Rest
Y	N	CC06CN	Crematorium	C	C	6	CN	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Crematorium
Y	N	CC06CY	Cemetery	C	C	6	CY	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Cemetery
Y	N	CC06MC	Military Cemetery	C	C	6	MC	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Military Cemetery
Y	N	CC06MY	Mortuary	C	C	6	MY	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Mortuary
Y		CC07	Church Hall / Religious Meeting Place / Hall	C	C	7		Commercial	Community Services	Church Hall / Religious Meeting Place / Hall	
Y		CC08	Community Service Centre / Office	C	C	8		Commercial	Community Services	Community Service Centre / Office	
Y	N	CC09	Public Household Waste Recycling Centre (HWRC)	C	C	9		Commercial	Community Services	Public Household Waste Recycling Centre (HWRC)	
Y	N	CC10	Recycling Site	C	C	10		Commercial	Community Services	Recycling Site	
Y	N	CC11	CCTV	C	C	11		Commercial	Community Services	CCTV	
Y	N	CC12	Job Centre	C	C	12		Commercial	Community Services	Job Centre	
Y	Y	CE	Education	C	E			Commercial	Education		
Y	Y	CE01	College	C	E	1		Commercial	Education	College	
Y	Y	CE01FE	Further Education	C	E	1	FE	Commercial	Education	College	Further Education
Y	Y	CE01HE	Higher Education	C	E	1	HE	Commercial	Education	College	Higher Education
Y	Y	CE02	Children’s Nursery / Crèche	C	E	2		Commercial	Education	Children’s Nursery / Crèche	
