Include	Concatenated	Class_Desc	Primary_Code	Secondary_Code	Tertiary_Code	Quaternary_Code	Primary_Desc	Secondary_Desc	Tertiary_Desc	Quaternary_Desc
	C	Commercial	C				Commercial			
	CA	Agricultural	C	A			Commercial	Agricultural		
	CA01	Farm / Non-Residential Associated Building	C	A	1		Commercial	Agricultural	Farm / Non-Residential Associated Building	
	CA02	Fishery	C	A	2		Commercial	Agricultural	Fishery	
	CA02FF	Fish Farming	C	A	2	FF	Commercial	Agricultural	Fishery	Fish Farming
	CA02FH	Fish Hatchery	C	A	2	FH	Commercial	Agricultural	Fishery	Fish Hatchery
	CA02FP	Fish Processing	C	A	2	FP	Commercial	Agricultural	Fishery	Fish Processing
	CA02OY	Oyster / Mussel Bed	C	A	2	OY	Commercial	Agricultural	Fishery	Oyster / Mussel Bed
	CA03	Horticulture	C	A	3		Commercial	Agricultural	Horticulture	
	CA03SH	Smallholding	C	A	3	SH	Commercial	Agricultural	Horticulture	Smallholding
Y	CA03VY	Vineyard	C	A	3	VY	Commercial	Agricultural	Horticulture	Vineyard
	CA03WB	Watercress Bed	C	A	3	WB	Commercial	Agricultural	Horticulture	Watercress Bed
	CA04	Slaughter House / Abattoir	C	A	4		Commercial	Agricultural	Slaughter House / Abattoir	
	CB	Ancillary Building	C	B			Commercial	Ancillary Building		
	CC	Community Services	C	C			Commercial	Community Services		
	CC02	Law Court	C	C	2		Commercial	Community Services	Law Court	
Y	CC03	Prison	C	C	3		Commercial	Community Services	Prison	
Y	CC03HD	HM Detention Centre	C	C	3	HD	Commercial	Community Services	Prison	HM Detention Centre
Y	CC03PR	HM Prison Service	C	C	3	PR	Commercial	Community Services	Prison	HM Prison Service
Y	CC03SC	Secure Residential Accommodation	C	C	3	SC	Commercial	Community Services	Prison	Secure Residential Accommodation
	CC04	Public / Village Hall / Other Community Facility	C	C	4		Commercial	Community Services	Public / Village Hall / Other Community Facility	
	CC04YR	Youth Recreational / Social Club	C	C	4	YR	Commercial	Community Services	Public / Village Hall / Other Community Facility	Youth Recreational / Social Club
	CC05	Public Convenience	C	C	5		Commercial	Community Services	Public Convenience	
	CC06	Cemetery / Crematorium / Graveyard. In Current Use.	C	C	6		Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	
	CC06CB	Columbarium	C	C	6	CB	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Columbarium
	CC06CR	Chapel Of Rest	C	C	6	CR	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Chapel Of Rest
	CC06CN	Crematorium	C	C	6	CN	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Crematorium
	CC06CY	Cemetery	C	C	6	CY	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Cemetery
	CC06MC	Military Cemetery	C	C	6	MC	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Military Cemetery
	CC06MY	Mortuary	C	C	6	MY	Commercial	Community Services	Cemetery / Crematorium / Graveyard. In Current Use.	Mortuary
	CC07	Church Hall / Religious Meeting Place / Hall	C	C	7		Commercial	Community Services	Church Hall / Religious Meeting Place / Hall	
	CC08	Community Service Centre / Office	C	C	8		Commercial	Community Services	Community Service Centre / Office	
	CC09	Public Household Waste Recycling Centre (HWRC)	C	C	9		Commercial	Community Services	Public Household Waste Recycling Centre (HWRC)	
	CC10	Recycling Site	C	C	10		Commercial	Community Services	Recycling Site	
	CC11	CCTV	C	C	11		Commercial	Community Services	CCTV	
	CC12	Job Centre	C	C	12		Commercial	Community Services	Job Centre	
Y	CE	Education	C	E			Commercial	Education		
Y	CE01	College	C	E	1		Commercial	Education	College	
Y	CE01FE	Further Education	C	E	1	FE	Commercial	Education	College	Further Education
Y	CE01HE	Higher Education	C	E	1	HE	Commercial	Education	College	Higher Education
Y	CE02	Children’s Nursery / Crèche	C	E	2		Commercial	Education	Children’s Nursery / Crèche	
Y	CE03	Preparatory / First / Primary / Infant / Junior / Middle School	C	E	3		Commercial	Education	Preparatory / First / Primary / Infant / Junior / Middle School	
Y	CE03FS	First School	C	E	3	FS	Commercial	Education	Preparatory / First / Primary / Infant / Junior / Middle School	First School
Y	CE03IS	Infant School	C	E	3	IS	Commercial	Education	Preparatory / First / Primary / Infant / Junior / Middle School	Infant School
Y	CE03JS	Junior School	C	E	3	JS	Commercial	Education	Preparatory / First / Primary / Infant / Junior / Middle School	Junior School
Y	CE03MS	Middle School	C	E	3	MS	Commercial	Education	Preparatory / First / Primary / Infant / Junior / Middle School	Middle School
Y	CE03NP	Non State Primary / Preparatory School	C	E	3	NP	Commercial	Education	Preparatory / First / Primary / Infant / Junior / Middle School	Non State Primary / Preparatory School
Y	CE03PS	Primary School	C	E	3	PS	Commercial	Education	Preparatory / First / Primary / Infant / Junior / Middle School	Primary School
Y	CE04	Secondary / High School	C	E	4		Commercial	Education	Secondary / High School	
Y	CE04NS	Non State Secondary School	C	E	4	NS	Commercial	Education	Secondary / High School	Non State Secondary School
Y	CE04SS	Secondary School	C	E	4	SS	Commercial	Education	Secondary / High School	Secondary School
Y	CE05	University	C	E	5		Commercial	Education	University	
Y	CE06	Special Needs Establishment.	C	E	6		Commercial	Education	Special Needs Establishment.	
Y	CE07	Other Educational Establishment	C	E	7		Commercial	Education	Other Educational Establishment	
Y	CH	Hotel / Motel / Boarding / Guest House	C	H			Commercial	Hotel / Motel / Boarding / Guest House		
