Saint	Date of birth	Date of death	Date of	Tradition				
Abakuh						Yes	Yes	2
Abamun of Tarnut		371				Yes	Yes	3
Abaskhayroun		3rd century			Yes			1
Abban of Magheranoidhe		c. 570					Yes	1
Abban of New Ross		7th century				Yes	Yes	2
Abban the Hermit		5th century				Yes	Yes	2
Abbo of Fleury	945	1004					Yes	1
Abdas of Susa		5th century			Yes	Yes	Yes	3
Abel of Reims		764			Yes	Yes	Yes	3
Abib		5th century			Yes			1
Abo of Tiflis		786				Yes		1
Abraham the Coptic		12 Feb 360			Yes			1
Abraham of Scetes		399			Yes			1
Abraham of Smolensk	1150	1222	1549			Yes	Yes	2
"Abraam, Bishop of Fayoum"	1829	06-Jun-14	1964		Yes			1
Abraham the Syrian		978			Yes			1
Abuna Aregawi		6th century			Yes			1
Abundius		469					Yes	1
Acacius of Amida		425					Yes	1
Acca of Hexham		742?		Yes			Yes	2
Achilleus Kewanuka	1869	1886					Yes	1
Adalbert of Prague	956	997					Yes	1
Adalgar		909					Yes	1
Adalgott		1165					Yes	1
Adamo Abate		1060 to 1070					Yes	1
Adelaide of Italy	931	999					Yes	1
"Adelaide, Abbess of Vilich"	970	1015					Yes	1
Adelin (Adelhelm) of Séez		c. 910					Yes	1
Pope Adeodatus I		618				Yes	Yes	2
Adomnán	624	704					Yes	1
Pope Adrian III		885					Yes	1
Afan		6th century		Yes		Yes	Yes	3
Pope Agapitus I		536				Yes	Yes	2
Agapetus of Pechersk		11th century				Yes		1
Agatha of Sicily	231	3rd century		Yes	Yes	Yes	Yes	4
Agatho of Alexandria		677			Yes			1
Agathon of Egypt	c. 4th century	c. 435				Yes		1
Pope Agatho		681				Yes	Yes	2
Agnes	1197	16 Nov 1253	1753	Yes		Yes	Yes	3
Agnes	1211	1282					Yes	1
Aidan		651		Yes		Yes	Yes	3
Alban		"disputed: 22 Jun 209, c. 251 or 304"		Yes		Yes	Yes	3
Alberic		1108					Yes	1
Alberic of Utrecht		784					Yes	1
Alberto Hurtado	22-Jan-01	18 Aug 1952	23-Oct-05				Yes	1
Albertus Magnus	1200	1280					Yes	1
Alda		c. 1309					Yes	1
Alcuin		804		Yes		Yes	Yes	3
Pope Alexander of Alexandria		328			Yes			1
Alexander Schmorell	1917	1943				Yes		1
Alexandra of Hesse	1872	1918				Yes		1
Alexei of Russia	12-Aug-04	17-Jul-18				Yes		1
Alexis Falconieri	1200	1310					Yes	1
Alexis of Wilkes-Barre	1853	1909				Yes		1
Alice of Schaerbeek	1204	1250					Yes	1
Alypius the Stylite	522	640		Yes		Yes	Yes	3
Alipy of the Caves		11th-12th century				Yes		1
Aloysius Gonzaga	1568	1591					Yes	1
